,regime,Bull,Bear,Crisis
2011-11-09,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-11,Bear,3.65887790996978e-10,0.9996341528899646,0.00036584674395387167
2011-11-14,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-15,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-16,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-17,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-18,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-21,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-22,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-23,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-24,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-25,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-28,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-29,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-11-30,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-01,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-02,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-05,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-07,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-08,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-09,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-12,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-13,Crisis,1.0050014835052708e-147,0.0032079558656766885,0.9967920441341707
2011-12-14,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-15,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-16,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-19,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-20,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-21,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-22,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-23,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-26,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-27,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-28,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-29,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2011-12-30,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-02,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
2012-01-03,Bear,1.8366570354472005e-19,0.9999894103699718,1.058963010394521e-05
