date,Strategy,asset,weight
2011-11-25,RegimeShift,equity,0.012051187438266352
2011-11-28,RegimeShift,equity,0.012366999615047596
2011-11-29,RegimeShift,equity,0.012251996957119596
2011-11-30,RegimeShift,equity,0.012314918699268393
2011-12-01,RegimeShift,equity,0.012544753382501182
2011-12-02,RegimeShift,equity,0.012829283181325504
2011-12-05,RegimeShift,equity,0.012807399898598108
2011-12-07,RegimeShift,equity,0.012884844914325313
2011-12-08,RegimeShift,equity,0.012559475894113265
2011-12-09,RegimeShift,equity,0.012386406661305544
2011-12-12,RegimeShift,equity,0.012161680897973084
2011-12-13,RegimeShift,equity,0.012249213226692798
2011-12-14,RegimeShift,equity,1.9878862293278065e-10
2011-12-15,RegimeShift,equity,2.037989227068126e-10
2011-12-16,RegimeShift,equity,2.0089513007404465e-10
2011-12-19,RegimeShift,equity,1.9841231639071833e-10
2011-12-20,RegimeShift,equity,1.945717344676091e-10
2011-12-21,RegimeShift,equity,1.989364551530877e-10
2011-12-22,RegimeShift,equity,2.0231815795323986e-10
2011-12-23,RegimeShift,equity,2.016087398925705e-10
2011-12-26,RegimeShift,equity,2.0181447633454092e-10
2011-12-27,RegimeShift,equity,2.0407232793263534e-10
2011-12-28,RegimeShift,equity,2.0239938868651204e-10
2011-12-29,RegimeShift,equity,2.0281302392629646e-10
2011-12-30,RegimeShift,equity,2.0024924357108536e-10
2012-01-02,RegimeShift,equity,1.9970398713970685e-10
2012-01-03,RegimeShift,equity,2.0422218781312668e-10
2012-01-04,RegimeShift,equity,2.022605003838798e-10
2012-01-05,RegimeShift,equity,2.0238810102193354e-10
2012-01-06,RegimeShift,equity,2.0194916585920978e-10
2012-01-09,RegimeShift,equity,2.0267070501380246e-10
2012-01-10,RegimeShift,equity,2.0840934057747517e-10
2012-01-11,RegimeShift,equity,2.0821817259931863e-10
2012-01-12,RegimeShift,equity,1.6042963178779467e-08
2012-01-13,RegimeShift,equity,1.6279839188206895e-08
2012-01-16,RegimeShift,equity,1.625616606345483e-08
2012-01-17,RegimeShift,equity,1.6498968919519162e-08
2012-01-18,RegimeShift,equity,1.6543831816209804e-08
