date,Strategy,turnover
2012-04-17,RegimeShift,0.014399151597620688
2012-04-18,RegimeShift,0.0
2012-04-19,RegimeShift,0.0
2012-04-20,RegimeShift,0.0
2012-04-23,RegimeShift,0.0
2012-04-24,RegimeShift,0.0
2012-04-25,RegimeShift,0.0
2012-04-26,RegimeShift,0.0
2012-04-27,RegimeShift,0.0
2012-04-30,RegimeShift,0.0
2012-05-02,RegimeShift,0.0
2012-05-03,RegimeShift,0.0
2012-05-04,RegimeShift,0.0
2012-05-07,RegimeShift,0.0
2012-05-08,RegimeShift,0.0
2012-05-09,RegimeShift,0.0
2012-05-10,RegimeShift,0.0
2012-05-11,RegimeShift,0.0
2012-05-14,RegimeShift,0.0
2012-05-15,RegimeShift,0.0
2012-05-16,RegimeShift,0.0
2012-05-17,RegimeShift,0.440627931789308
2012-05-18,RegimeShift,0.0
2012-05-21,RegimeShift,0.0
2012-05-22,RegimeShift,0.0
2012-05-23,RegimeShift,0.0
2012-05-24,RegimeShift,0.0
2013-01-31,RegimeShift,0.0
2013-02-01,RegimeShift,0.0
2013-02-04,RegimeShift,0.0
2013-02-05,RegimeShift,0.0
2013-02-06,RegimeShift,0.0
2013-02-07,RegimeShift,0.0
2013-02-08,RegimeShift,0.0
2013-02-11,RegimeShift,0.0
2013-02-12,RegimeShift,0.0
2013-02-13,RegimeShift,0.0
2013-02-14,RegimeShift,0.0
2013-02-15,RegimeShift,0.0
2013-02-18,RegimeShift,0.0
2013-02-19,RegimeShift,0.0
2013-02-20,RegimeShift,0.0
2013-02-21,RegimeShift,0.001450178710774473
2013-02-22,RegimeShift,0.0
2013-02-25,RegimeShift,0.0
2013-02-26,RegimeShift,0.0
2013-02-27,RegimeShift,0.0
2013-02-28,RegimeShift,0.0
2013-03-01,RegimeShift,0.0
2013-03-04,RegimeShift,0.0
2013-03-05,RegimeShift,0.0
2013-03-06,RegimeShift,0.0
2013-03-07,RegimeShift,0.0
2013-03-08,RegimeShift,0.0
2013-03-11,RegimeShift,0.0
2013-03-12,RegimeShift,0.0
2013-03-13,RegimeShift,0.0
2013-03-14,RegimeShift,0.0
2013-03-15,RegimeShift,0.0
2013-03-18,RegimeShift,0.0
2013-03-19,RegimeShift,0.0
2013-03-20,RegimeShift,0.0
2013-03-21,RegimeShift,0.0
2013-03-22,RegimeShift,0.00273328704179669
2013-03-25,RegimeShift,0.0
2013-03-26,RegimeShift,0.0
2013-03-28,RegimeShift,0.0
2013-04-01,RegimeShift,0.0
2013-04-02,RegimeShift,0.0
2013-04-03,RegimeShift,0.0
2013-04-04,RegimeShift,0.0
2013-04-05,RegimeShift,0.0
2013-04-08,RegimeShift,0.0
2013-04-09,RegimeShift,0.0
2013-04-10,RegimeShift,0.0
2013-04-11,RegimeShift,0.0
2013-04-12,RegimeShift,0.0
2013-04-15,RegimeShift,0.0
2013-04-16,RegimeShift,0.0
2013-04-17,RegimeShift,0.0
2013-04-18,RegimeShift,0.0
2013-04-22,RegimeShift,0.0
2013-04-23,RegimeShift,0.0
2013-04-25,RegimeShift,0.0
2013-04-26,RegimeShift,0.38834409215572113
2013-04-29,RegimeShift,0.0
2013-04-30,RegimeShift,0.0
2013-05-02,RegimeShift,0.0
2013-05-03,RegimeShift,0.0
2013-05-06,RegimeShift,0.0
2013-05-07,RegimeShift,0.0
2013-05-08,RegimeShift,0.0
2013-05-09,RegimeShift,0.0
2013-05-10,RegimeShift,0.0
2013-05-13,RegimeShift,0.0
2013-05-14,RegimeShift,0.0
2013-05-15,RegimeShift,0.0
2013-05-16,RegimeShift,0.0
2013-05-17,RegimeShift,0.0
2013-05-20,RegimeShift,0.0
2013-05-21,RegimeShift,0.0
2013-05-22,RegimeShift,0.0
2013-05-23,RegimeShift,0.0
2013-05-24,RegimeShift,0.0
2013-05-27,RegimeShift,0.0
2013-05-28,RegimeShift,0.3857642909160309
2013-05-29,RegimeShift,0.0
2013-05-30,RegimeShift,0.0
2013-05-31,RegimeShift,0.0
2013-06-03,RegimeShift,0.0
2013-06-04,RegimeShift,0.0
2013-06-05,RegimeShift,0.0
2013-06-06,RegimeShift,0.0
2013-06-07,RegimeShift,0.0
2013-06-10,RegimeShift,0.0
2013-06-11,RegimeShift,0.0
2013-06-12,RegimeShift,0.0
2013-06-13,RegimeShift,0.0
2013-06-14,RegimeShift,0.0
2013-06-17,RegimeShift,0.0
2013-06-18,RegimeShift,0.0
2013-06-19,RegimeShift,0.0
2013-06-20,RegimeShift,0.0
2013-06-21,RegimeShift,0.0
2013-06-24,RegimeShift,0.0
2013-06-25,RegimeShift,0.0
2013-06-26,RegimeShift,0.18493086318962368
2013-06-27,RegimeShift,0.0
2013-06-28,RegimeShift,0.0
2013-07-01,RegimeShift,0.0
2013-07-02,RegimeShift,0.0
2013-07-03,RegimeShift,0.0
2013-07-04,RegimeShift,0.0
2013-07-05,RegimeShift,0.0
2013-07-08,RegimeShift,0.0
2013-07-09,RegimeShift,0.0
2013-07-10,RegimeShift,0.0
2013-07-11,RegimeShift,0.0
2013-07-12,RegimeShift,0.0
2013-07-15,RegimeShift,0.0
2013-07-16,RegimeShift,0.0
2013-07-17,RegimeShift,0.0
2013-07-18,RegimeShift,0.0
2013-07-19,RegimeShift,0.0
2013-07-22,RegimeShift,0.0
2013-07-23,RegimeShift,0.0
2013-07-24,RegimeShift,0.0
2013-07-25,RegimeShift,0.1903942000888636
2013-07-26,RegimeShift,0.0
2013-07-29,RegimeShift,0.0
2013-07-30,RegimeShift,0.0
2013-07-31,RegimeShift,0.0
2013-08-01,RegimeShift,0.0
2013-08-02,RegimeShift,0.0
2013-08-05,RegimeShift,0.0
2013-08-06,RegimeShift,0.0
2013-08-07,RegimeShift,0.0
2013-08-08,RegimeShift,0.0
2013-08-12,RegimeShift,0.0
2013-08-13,RegimeShift,0.0
2013-08-14,RegimeShift,0.0
2013-08-16,RegimeShift,0.0
2013-08-19,RegimeShift,0.0
2013-08-20,RegimeShift,0.0
2013-08-21,RegimeShift,0.0
2013-08-22,RegimeShift,0.0
2013-08-23,RegimeShift,0.0
2013-08-26,RegimeShift,0.0
2013-08-27,RegimeShift,0.25000784290238043
2013-08-28,RegimeShift,0.0
2013-08-29,RegimeShift,0.0
2013-08-30,RegimeShift,0.0
2013-09-02,RegimeShift,0.0
2013-09-03,RegimeShift,0.0
2013-09-04,RegimeShift,0.0
2013-09-05,RegimeShift,0.0
2013-09-06,RegimeShift,0.0
2013-09-10,RegimeShift,0.0
2013-09-11,RegimeShift,0.0
