date,posterior_maximum_probability,posterior_entropy
2023-12-04,0.9999999994406608,1.2502626301140802e-08
2023-12-05,0.9999999994406608,1.2502626301140802e-08
2023-12-06,0.9999999994406608,1.2502626301140802e-08
2023-12-07,0.9999999994406608,1.2502626301140802e-08
2023-12-08,0.9999999994406608,1.2502626301140802e-08
2023-12-11,0.9999999994406608,1.2502626301140802e-08
2023-12-12,0.9999999994406608,1.2502626301140802e-08
2023-12-13,0.9999999994406608,1.2502626301140802e-08
2023-12-14,0.9999999994406608,1.2502626301140802e-08
2023-12-15,0.9999999994406608,1.2502626301140802e-08
2023-12-18,0.9999999994406608,1.2502626301140802e-08
2023-12-19,0.9999999981978362,3.811603660882544e-08
2023-12-20,0.9999999981978362,3.811603660882544e-08
2023-12-21,0.9999999981978362,3.811603660882544e-08
2023-12-22,0.9999999981978362,3.811603660882544e-08
2023-12-26,0.9999999981978362,3.811603660882544e-08
2023-12-27,0.9999999981978362,3.811603660882544e-08
2023-12-28,0.9999999981978362,3.811603660882544e-08
2023-12-29,0.9999999981978362,3.811603660882544e-08
2024-01-01,0.9999999981978362,3.811603660882544e-08
2024-01-02,0.9999999981978362,3.811603660882544e-08
2024-01-03,0.9999999981978362,3.811603660882544e-08
2024-01-04,0.9999999981978362,3.811603660882544e-08
2024-01-05,0.9999999981978362,3.811603660882544e-08
2024-01-08,0.9999999981978362,3.811603660882544e-08
2024-01-09,0.9999999981978362,3.811603660882544e-08
2024-01-10,0.9999999981978362,3.811603660882544e-08
2024-01-11,0.9999999981978362,3.811603660882544e-08
2024-01-12,0.9999999981978362,3.811603660882544e-08
2024-01-15,0.9999999981978362,3.811603660882544e-08
2024-01-16,0.9999999981978362,3.811603660882544e-08
2024-01-17,0.9999999981978362,3.811603660882544e-08
2024-01-18,0.9175826126671216,0.28463413075156396
2024-01-19,0.9175826126671216,0.28463413075156396
2024-01-23,0.9175826126671216,0.28463413075156396
2024-01-24,0.9175826126671216,0.28463413075156396
2024-01-25,0.9175826126671216,0.28463413075156396
2024-01-29,0.9175826126671216,0.28463413075156396
2024-01-30,0.9175826126671216,0.28463413075156396
2024-01-31,0.9175826126671216,0.28463413075156396
2024-02-01,0.9175826126671216,0.28463413075156396
2024-02-02,0.9175826126671216,0.28463413075156396
2024-02-05,0.9175826126671216,0.28463413075156396
2024-02-06,0.9175826126671216,0.28463413075156396
2024-02-07,0.9175826126671216,0.28463413075156396
2024-02-08,0.9175826126671216,0.28463413075156396
2024-02-09,0.9175826126671216,0.28463413075156396
2024-02-12,0.9175826126671216,0.28463413075156396
2024-02-13,0.9175826126671216,0.28463413075156396
2024-02-14,0.9175826126671216,0.28463413075156396
2024-02-15,0.9175826126671216,0.28463413075156396
2024-02-16,0.9175826126671216,0.28463413075156396
2024-02-19,0.9175826126671216,0.28463413075156396
2024-02-20,1.0,5.526204223185709e-11
2024-02-21,1.0,5.526204223185709e-11
2024-02-22,1.0,5.526204223185709e-11
2024-02-23,1.0,5.526204223185709e-11
2024-02-26,1.0,5.526204223185709e-11
2024-02-27,1.0,5.526204223185709e-11
2024-02-28,1.0,5.526204223185709e-11
2024-02-29,1.0,5.526204223185709e-11
2024-03-01,1.0,5.526204223185709e-11
2024-03-04,1.0,5.526204223185709e-11
2024-03-05,1.0,5.526204223185709e-11
2024-03-06,1.0,5.526204223185709e-11
2024-03-07,1.0,5.526204223185709e-11
2024-03-11,1.0,5.526204223185709e-11
2024-03-12,1.0,5.526204223185709e-11
2024-03-13,1.0,5.526204223185709e-11
2024-03-14,1.0,5.526204223185709e-11
2024-03-15,1.0,5.526204223185709e-11
2024-03-18,1.0,5.526204223185709e-11
2024-03-19,1.0,5.526204223185709e-11
2024-03-20,1.0,5.526204223185709e-11
2024-03-21,0.9527887459059398,0.19022082566542126
2024-03-22,0.9527887459059398,0.19022082566542126
2024-03-26,0.9527887459059398,0.19022082566542126
2024-03-27,0.9527887459059398,0.19022082566542126
2024-03-28,0.9527887459059398,0.19022082566542126
2024-04-01,0.9527887459059398,0.19022082566542126
2024-04-02,0.9527887459059398,0.19022082566542126
2024-04-03,0.9527887459059398,0.19022082566542126
2024-04-04,0.9527887459059398,0.19022082566542126
2024-04-05,0.9527887459059398,0.19022082566542126
2024-04-08,0.9527887459059398,0.19022082566542126
2024-04-09,0.9527887459059398,0.19022082566542126
2024-04-10,0.9527887459059398,0.19022082566542126
2024-04-12,0.9527887459059398,0.19022082566542126
2024-04-15,0.9527887459059398,0.19022082566542126
