date,regime,converged,n_iter,log_likelihood,turnover,cost,n_restarts_attempted,n_restarts_converged,best_seed
2025-07-31,Bull,True,200,-1695.7248372620695,0.0276864796358796,5.53729592717592e-05,3,3,44
2025-09-02,Bull,True,200,-1720.4064359267538,0.012983886830404315,2.596777366080863e-05,3,3,44
2025-10-01,Bull,True,200,-1644.520234830096,0.025798656370242715,5.1597312740485426e-05,3,3,44
2025-11-03,Bull,True,200,-1632.3602300780208,0.18380557151803148,0.0003676111430360629,3,3,44
2025-12-03,Bull,True,200,-1605.21939974923,0.023325787101907615,4.665157420381523e-05,3,3,44
2026-01-02,Bull,True,200,-1620.8515838417711,0.008131395622939245,1.626279124587849e-05,3,3,44
2026-02-03,Crisis,True,200,-1748.2451290828235,0.741846775793892,0.001483693551587784,3,3,44
2026-03-05,Crisis,True,200,-1807.352680573395,0.010473538190358834,2.094707638071767e-05,3,3,44
2026-04-08,Crisis,True,200,-1770.5482524377417,0.011227744429923373,2.2455488859846746e-05,3,3,44
2026-05-08,Bull,True,200,-1692.842886595807,0.5501158339180945,0.0011002316678361888,3,3,44
2026-06-08,Crisis,True,200,-1521.7529870121914,0.5459135429001416,0.0010918270858002832,3,3,44
2026-07-07,Bear,True,200,-1520.5552356812905,0.5585239669434477,0.0011170479338868957,3,3,44
