date,Bull,Bear,Crisis
2016-10-21,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-24,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-25,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-26,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-27,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-10-28,0.9977370694472982,0.0022629304846624987,6.811726056551347e-11
2016-11-01,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-02,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-03,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-04,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-07,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-08,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-09,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-10,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-11,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-15,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-16,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-17,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-18,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-21,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-22,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-23,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-24,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-25,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-28,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-29,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-11-30,1.616125229111442e-08,0.999999937791019,4.604780399339097e-08
2016-12-01,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-02,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-05,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-06,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-07,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-08,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-09,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-12,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-13,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-14,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-15,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-16,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-19,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-20,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-21,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-22,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-23,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-26,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-27,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-28,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-29,9.274644596533152e-13,1.5932759730994878e-26,0.9999999999990905
2016-12-30,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-02,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-03,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-04,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-05,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-06,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
2017-01-09,1.121270329692188e-19,0.9999999989938715,1.0061706043817139e-09
